block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,ok,error
13217637,1100,29985362,specfence,4,2,17.436790000000002,63085.00589844805,4,0.0036363636363636364,940,137,44,0,3289,2873,5836,43,15329,44,0.30769230769229483,2,1019,2378,13,0,10,11,0,4,0,true,
13217637,1100,29985362,specfence,8,0,23.558747,46691.78713112374,7,0.006363636363636364,946,137,44,1093,4353,2887,5888,46,20092,44,0.3963869867576087,2,1028,2417,19,0,13,11,0,7,0,true,
13217637,1100,29985362,specfence,8,1,18.599953999999997,59139.931206281486,6,0.005454545454545455,945,137,44,0,4355,2884,5851,45,24509,44,0.3556168173019859,2,1029,2380,17,0,12,11,0,6,0,true,
13217637,1100,29985362,specfence,8,2,17.908387,61423.73403031775,7,0.006363636363636364,943,139,44,126,3386,2881,5859,46,23214,44,0.30785250847727863,2,1027,2381,19,0,13,11,0,7,0,true,
14383540,722,30059751,sequential,1,0,13.15972,54864.38921192852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,sequential,1,1,11.100290000000001,65043.345714391246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,sequential,1,2,11.527493999999999,62632.86712619413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,occ,1,0,18.930593,38139.32294672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,occ,1,1,13.819420000000001,52245.31854448305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,occ,1,2,13.266481,54422.87219949284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,occ,2,0,9.549864999999999,75603.16297664942,6,0.008310249307479225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,occ,2,1,8.971125,80480.43026933634,7,0.009695290858725761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
14383540,722,30059751,occ,2,2,7.9821040000000005,90452.34188880525,5,0.006925207756232687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
