block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,ok,error
14383540,722,30059751,pcc,2,1,8.815211999999999,81903.87253307125,5,0.006925207756232687,269,128,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,2,2,8.940188,80758.92811202627,4,0.00554016620498615,202,127,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,4,0,7.567764,95404.66642458724,15,0.02077562326869806,511,135,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,4,1,6.672070000000001,108212.29393576506,14,0.019390581717451522,434,134,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,4,2,6.774573,106574.98265942371,15,0.02077562326869806,430,135,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,8,0,6.81831,105891.3425760929,31,0.04293628808864266,619,143,33,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,8,1,6.536414,110458.1196968246,24,0.0332409972299169,584,142,31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,8,2,7.2119990000000005,100110.94011521632,29,0.04016620498614958,558,145,31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,specfence,1,0,27.071873,26669.74686236154,0,0.0,0,179,55,0,0,1088,4893,55,3703,55,0.3076923076923154,0,600,3093,0,0,0,0,0,True,
14383540,722,30059751,specfence,1,1,25.395272,28430.488950856678,0,0.0,0,179,55,0,0,1088,4893,55,3703,55,0.3076923076923154,0,600,3093,0,0,0,0,0,True,
14383540,722,30059751,specfence,1,2,27.108048,26634.156764072428,0,0.0,0,179,55,0,0,1088,4893,55,3703,55,0.3076923076923154,0,600,3093,0,0,0,0,0,True,
